1)SQL-скрипт с тестовым набором данных


mysql> with recursive series as (
    -> select 1 as id union all
    -> select id + 1 as id
    ->    from series
    ->    where id < 100), 
    ->    city as (select 'Santa Clara' city union all 
    ->               select 'Los Angeles' union all 
    ->               select 'Santa Clarita' union all 
    ->               select 'San Bernardino' union all
    ->               select 'Alameda' union all
    ->               select 'San Mateo' union all 
    ->               select 'Santa Barbara'              
    ->              ),
    ->    first_names as (select 'John' first_name union all
    ->    select 'James' first_name union all
    ->    select 'David' first_name union all
    ->    select 'Jeremy' first_name union all
    ->    select 'Ron' first_name union all
    ->    select 'Katie' first_name union all
    ->    select 'Nikita' first_name union all
    ->    select 'Rachel' first_name union all
    ->            select 'Tom' first_name
    ->    ),
    ->     last_names as (select 'Smith' last_name union all
    ->        select 'Johnson' last_name union all
    ->           select 'Williams' last_name union all
    ->           select 'Brown' last_name union all
    ->           select 'Jones' last_name union all
    ->                   select 'Miller' last_name union all
    ->           select 'Davis' last_name union all
    ->           select 'Wilson' last_name union all
    ->          select 'West' last_name
    ->    )
    -> select id, user_id, first_name, last_name
    ->        dob, city, salary - mod(salary, 100) salary
    -> from (select id, 
    ->        substring(md5(rand()),1,20) user_id,
    ->        (select first_name from first_names order by rand() limit 1) first_name,
    ->        (select last_name from last_names order by rand() limit 1) last_name,
    ->        date(concat_ws('-',(floor(1919+rand()*100)),
    ->                           (floor(1+rand()*12)),
    ->                           (floor(1+rand()*28))
    ->                      )
    ->            ) dob,
    ->        (select city from cities order by rand() limit 1) city,
    ->        floor((rand() * (120000 + 1)) + 35000) salary
    -> from series) as t;
+------+----------------------+------------+----------+----------------+--------+
| id   | user_id              | first_name | dob      | city           | salary |
+------+----------------------+------------+----------+----------------+--------+
|    1 | 02a7eede5d0ff78d8523 | Katie      | Williams | San Mateo      |  95900 |
|    2 | b6e9613317fc64e562a4 | James      | West     | Santa Barbara  | 120100 |
|    3 | 2485f90d313320763a92 | Tom        | West     | Santa Clarita  | 105200 |
|    4 | aefcb564b44ac4f52ed4 | Nikita     | Miller   | San Mateo      | 105900 |
|    5 | d1f47626c7b3afb6dc8a | Ron        | Smith    | Alameda        | 151300 |
|    6 | bed6301e2aa2018d60de | Jeremy     | Jones    | Santa Clarita  | 122400 |
|    7 | 4cb2b1a29c6736f9f09c | John       | Smith    | Santa Clarita  |  94200 |
|    8 | b6855ddc49cd81300c8f | Ron        | West     | Santa Barbara  |  50000 |
|    9 | 50f2be60eca38caf935a | Jeremy     | Jones    | Santa Clara    |  67900 |
|   10 | 1c788683b0c40d65f3a2 | Jeremy     | West     | Santa Clarita  |  82800 |
|   11 | 8cf7fab9442d57bcddb3 | Nikita     | Williams | Los Angeles    | 153700 |
|   12 | 12840774bb39329cacc4 | Jeremy     | Brown    | Santa Clarita  | 119600 |
|   13 | 186d9b5379165a31c244 | Nikita     | Johnson  | San Mateo      |  38600 |
|   14 | 9ad03045a22ec4c0edeb | John       | West     | San Mateo      | 129500 |
|   15 | 6e0b9fa41fe8fbcdcacc | Nikita     | Williams | Santa Barbara  |  66700 |
|   16 | f0ff51711d868fa71a15 | John       | Davis    | Santa Clara    | 128000 |
|   17 | f4c43aecf1f27859dc73 | Jeremy     | Wilson   | Santa Barbara  | 146200 |
|   18 | 971e13e94afd100c2319 | Tom        | Smith    | Santa Barbara  | 142500 |
